"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","ctr_21","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14","mg_21"
"O00151",7.36718022314742,7.37093894828816,7.37916608393668,7.18028485547887,7.37647350230721,7.35946701957777,7.42276418415124,7.23455690815979,7.7000514094903,7.39603912759202,7.1749146288398,7.28109254470614,7.28611086973131,7.41494108638491,7.45687624078329,7.36404648154349,7.24378727341238,7.760823883037,7.68854351581694,7.70085530012121,7.6658241496184,7.47385957300313
"O00154",8.27217100112968,8.15653958598286,8.14557147231023,7.97386233903463,7.89054555365924,7.27958815139484,7.44818504798621,7.14386247954532,7.19475566562989,7.85826706588909,7.88555010767254,8.19093283987363,8.1312779191126,7.98414293811528,8.27383128553991,8.02650653226475,7.3186360307313,7.80070339197328,7.41834186504568,7.52404449386569,7.60589019813595,7.66432105786566
"O00159",8.71400246539468,8.54378410907636,8.38202944232153,8.29559666608595,7.72232477671198,7.76128501562913,6.81657134542187,8.00350899531696,6.89712602798276,6.62073813603828,7.48323005674365,8.46508391962893,8.55645128378674,8.51593641930167,8.37427181179077,8.12424206561223,7.33954369066231,7.58097200582347,7.95559901990075,7.91314993937283,7.48472795740917,7.22040903331025
"O00203",7.44847455352592,7.33113575995302,7.19318910848241,7.26844124661646,7.24223598685018,7.01377872864994,6.69726107433962,7.19678505006458,7.1926860190026,7.40180124952681,7.29119394913771,7.55016390960808,7.51505156879134,7.2541306046402,7.22736245337439,7.35495827303665,6.74712185113045,7.45915953698285,7.0067642592836,7.17354340449054,7.13999186039049,7.71691913949898
"O00231",8.35505943037071,8.15346447185805,8.37157973375932,8.04011785203768,7.59097400350278,7.28727643438702,7.09608456871641,7.28867118592919,7.61714006277277,7.48770949230328,7.78690415787378,8.32960402101462,8.28794616071333,8.05506578349283,7.91403715406154,7.51176742822265,6.87075084360741,7.61495548416512,7.5232562002175,7.65633139501562,7.59500239128135,7.49174552808997
"O00232",7.91253180874523,8.13135159193901,7.96943715463809,7.69777738872307,7.13875852567013,6.40276868878018,7.18207665297446,7.67674386828612,7.39853990456165,7.55477593173038,7.46842769478301,7.59621230793453,7.67714182755708,7.78964116682549,8.00567934135592,7.99703252659142,6.77029192752402,6.82991014373639,7.57557704789597,7.30527709367385,7.5579128263684,7.33196995787136
"O00273",7.43397906178091,7.54669160234187,7.54830786043397,7.64160765875561,7.01654504708616,6.77929779168291,7.06459899673975,7.0999132618472,7.05991538642578,7.32221159719871,7.2500367802878,7.33846766303609,7.38365874830659,7.61757438432896,7.55050811213144,7.00234274691304,7.01626233638813,7.2388135612349,6.84461392196193,7.32726381305558,6.97562054661619,6.95674309116066
"O00299",8.85233901887509,9.04198440720785,9.05728188954232,8.88730359142028,8.39585416545137,7.99146621272858,7.94946732180108,8.4009815408846,8.55041957796814,8.33407414083968,8.52353245638968,8.84914249964106,8.88454683314779,8.89863156264388,8.98632484052233,8.39892316742642,8.09265547935661,8.00329525073796,8.38140697125268,8.60542146134206,8.31878600741573,8.29222004355486
"O00303",8.30988061473318,8.37577888964137,8.35328305628584,8.18837512007019,7.82473662442012,8.05847801827536,6.77892911720777,7.7683955571565,7.7736138585623,7.38138483785405,7.83595482482975,8.06523641017205,8.20443014499626,8.28081298158741,8.23142243596331,7.87689051908428,7.21225803587678,7.76017737555625,7.80453661255916,7.73321022806993,7.65190082599491,7.86978244243371
"O00410",8.78193327311179,8.82429081682844,8.77977197232171,8.57246692153979,8.22214786151873,8.24957861499679,7.34605652303194,8.16091022558288,8.09493789941644,7.02410606157671,8.15475068363694,8.62452781873546,8.61410951575442,8.70039083045746,8.73910675677805,8.40193397207202,7.81598386768739,7.97593649501186,8.10322566155339,8.15038714124129,7.7043071914621,7.78975753623692
"O00429",7.55600327282605,7.8630375262604,7.47916676156925,7.45137551942357,6.890056911239,7.15460460557467,7.36302628753928,7.08403038174015,7.11692741392068,6.72100155796767,6.99364188618407,7.60785267843574,7.6659389754269,7.22705533808712,7.54689296986248,7.54770075711705,7.0863668636317,7.14037431050199,7.01502606460524,7.09376975872434,7.29030754803611,7.06124762626554
